33,"Bernal D. , Carlos",http://ucuenca.edu.ec/resource/author/carlos-bernal-d,http://ucuenca.edu.ec/wkhuska/publication/co-composting-of-distillery-and-winery-wastes-with-sewage-sludge,Co-composting of distillery and winery wastes with sewage sludge,
34,"Bravo Zhunio, Xavier Humberto",http://ucuenca.edu.ec/resource/author/xavier-humberto-bravo-zhunio,http://ucuenca.edu.ec/wkhuska/publication/proposal-for-national-targets-in-the-framework-of-the-european-reduction-goal-for-early-school,"Proposal for national targets in the framework of the European reduction goal for early school leaving""@e",
35,"García Aguilar, María Elena",http://ucuenca.edu.ec/resource/author/maría-elena-garcía-aguilar,http://ucuenca.edu.ec/wkhuska/publication/microwave-assisted-membrane-assisted-solvent-extraction-combined-with-gas-detection-applied-to-the-analysis-of-polychlorinated-biphenyls-in-bivalve-molluscs,"Microwave-assisted extraction, membrane-assisted solvent extraction combined with gas chromatography/electron-capture detection applied to the analysis of polychlorinated biphenyls in bivalve molluscs",
36,"Rojas Z. , Jorge",http://ucuenca.edu.ec/resource/author/jorge-rojas-z,http://ucuenca.edu.ec/wkhuska/publication/changes-in-resting-energy-expenditure-and-body-composition-after-weight-loss-following-roux-en-y-gastric-bypass,Changes in resting energy expenditure and body composition after weight loss following Roux-en-Y gastric bypass,
37,"Castro Riera, Carlos",http://ucuenca.edu.ec/resource/author/carlos-castro-riera,http://ucuenca.edu.ec/wkhuska/publication/octonionic-ternary-gauge-field-theories,"Octonionic ternary gauge field theories revisited""@e",
38,"Álvarez Vásquez, José Luis",http://ucuenca.edu.ec/resource/author/josé-luis-álvarez-vásquez,http://ucuenca.edu.ec/wkhuska/publication/commissioning-and-performance-of-the-cms-pixel-tracker-with-cosmic-ray-muons,Commissioning and performance of the CMS pixel tracker with cosmic ray muons,
39,"Figueroa Herrera, Jorge E",http://ucuenca.edu.ec/resource/author/jorge-e-figueroa-herrera,http://ucuenca.edu.ec/wkhuska/publication/technological-and-in-vitro-antioxidant-properties-of-cocoa-cacao,"Chemical, technological and in vitro antioxidant properties of cocoa (Theobroma cacao L.) co-products""@e",
40,"Aguilar Romero, Gino",http://ucuenca.edu.ec/resource/author/gino-aguilar-romero,http://ucuenca.edu.ec/wkhuska/publication/measurement-of-production-and-search-for-the-higgs-boson-in-pp-collisions-at-tev,Measurement of W +W − production and search for the Higgs boson in pp collisions at s = 7 TeV,
41,"Márquez Moreno, Rafael",http://ucuenca.edu.ec/resource/author/rafael-márquez-moreno,http://ucuenca.edu.ec/wkhuska/publication/the-membrane-bound-and-lactate-dehydrogenase-activities-in-mitochondria-from-euglena-gracilis,The Membrane-Bound l - and d Lactate Dehydrogenase Activities in Mitochondria from Euglena gracilis,
42,"Cárdenas López, Andrés",http://ucuenca.edu.ec/resource/author/andrés-cárdenas-lópez,http://ucuenca.edu.ec/wkhuska/publication/staphylococcus-aureus-outbreak-in-the-intensive-care-unit-of-the-largest-public-hospital-in,"Staphylococcus aureus outbreak in the intensive care unit of the largest public hospital in Quito, Ecuador""@e",
43,"Bernal D. , Carlos",http://ucuenca.edu.ec/resource/author/carlos-bernal-d,http://ucuenca.edu.ec/wkhuska/publication/with-the-synergistic-contribution-of-mediates-cell-specific-microglial-and-astroglial-activation-in-experimental-models-of-disease,"IFN-γ signaling, with the synergistic contribution of TNF-α, mediates cell specific microglial and astroglial activation in experimental models of Parkinson's disease",
44,"Espinoza Juela, María de Lourdes",http://ucuenca.edu.ec/resource/author/maría-de-lourdes-espinoza-juela,http://ucuenca.edu.ec/wkhuska/publication/age-at-menopause-in-latin-america,Age at menopause in Latin America,
45,"Bernal D. , Carlos",http://ucuenca.edu.ec/resource/author/carlos-bernal-d,http://ucuenca.edu.ec/wkhuska/publication/baalc-is-an-important-predictor-of-refractoriness-to-chemotherapy-and-poor-survival-in-intermediate-risk-acute-myeloid-leukemia,BAALC is an important predictor of refractoriness to chemotherapy and poor survival in intermediate-risk acute myeloid leukemia (AML),
