name,authorUri,publicationUri,title,keywords
Andrea Delgado B.,http://ucuenca.edu.ec/resource/author/andrea-delgado-b,http://ucuenca.edu.ec/wkhuska/publication/application-of-service-oriented-computing-and-model-driven-development-paradigms-to-business-processes-systematic,Application of Service-oriented Computing and Model-driven Development Paradigms to Business Processes - A Systematic Review.,"Business Process, Model Driven Development, Service Oriented Computing, Systematic Review"
"Otero Potosí, Santiago Andrés",http://ucuenca.edu.ec/resource/author/santiago-andrés-otero-potosí,http://ucuenca.edu.ec/wkhuska/publication/instrumentation-system-for-industrial,Instrumentation system for industrial transformers.,"Condition Monitoring, On Load Tap Changer, Power Transformer, Virtual Instrument"
"Fraga Guerrero, David Enrique",http://ucuenca.edu.ec/resource/author/david-enrique-fraga-guerrero,http://ucuenca.edu.ec/wkhuska/publication/bio-inspired-enhancement-of-reputation-systems-for-intelligent,Bio-inspired enhancement of reputation systems for intelligent environments.,"Ambient Intelligence, Context Model, Genetic Algorithm, Intelligent Environment, Reputation System, Security Requirements, Self Organized Map"
"Pacheco Solano, Jaime Alberto",http://ucuenca.edu.ec/resource/author/jaime-alberto-pacheco-solano,http://ucuenca.edu.ec/wkhuska/publication/uniformly-stable-backpropagation-algorithm-to-train-feedforward-neural,Uniformly Stable Backpropagation Algorithm to Train a Feedforward Neural Network.,"Artificial Neural Network, Asymptotic Stability, backpropagation, backpropagation algorithm, Continuous Time, Discrete Time, Discrete Time System, Feedforward Neural Network, Fuzzy Inference System, kalman filter, Neural Network, Nonlinear System, Recursive Least Square, Research Paper, Stability Analysis, takagi sugeno, Time Varying"
"Lozano Sarango, Manuel Antonio",http://ucuenca.edu.ec/resource/author/manuel-antonio-lozano-sarango,http://ucuenca.edu.ec/wkhuska/publication/learning-process-for-fuzzy-control-rules-using-genetic,A learning process for fuzzy control rules using genetic algorithms.,"Fuzzy Control, Genetic Algorithm, Rule Based"
Cesar Olmedo Ortiz Iza,http://ucuenca.edu.ec/resource/author/cesar-olmedo-ortiz-iza,http://ucuenca.edu.ec/wkhuska/publication/3d-dendrite-spine-detection-supervoxel-based,3D Dendrite Spine Detection - A Supervoxel Based Approach.,"3d structure, Dendritic Spine, Fluorescence Microscopy, Functional Properties, Geometric Approach, Geometric Feature, Image Processing"
"Villa Chuchuca, Silvia Patricia",http://ucuenca.edu.ec/resource/author/silvia-patricia-villa-chuchuca,http://ucuenca.edu.ec/wkhuska/publication/proximal-algorithm-for-dual-dictionaries-learning,PADDLE: Proximal Algorithm for Dual Dictionaries LEarning,"Image Features, Information Theory, Optimization Problem, Science Learning, Sparse Coding, Statistical Machine Learning, Synthetic Data"
"Abad, Marco",http://ucuenca.edu.ec/resource/author/marco-abad,http://ucuenca.edu.ec/wkhuska/publication/design-and-validation-of-enterprise-application,"Design and validation of enterprise application architectures""@e","4+1, Applications architecture, Business architecture, Enterprise architecture, ESB, SOA, TOGAF"
Andrea Salomé Chávez Mosquera,http://ucuenca.edu.ec/resource/author/andrea-salomé-chávez-mosquera,http://ucuenca.edu.ec/wkhuska/publication/software-component,Software Component Licensing: A Primer.,Software Component
Diana Jackeline Santos Delgado,http://ucuenca.edu.ec/resource/author/diana-jackeline-santos-delgado,http://ucuenca.edu.ec/wkhuska/publication/crosscultural-issues-in-multilingual-information,GikiCLEF: Crosscultural Issues in Multilingual Information Access.,Multilingual Information Access
